Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Кузов
2012 Dodge Charger Sxt,$ 1 000 USD,2,2C3CDXHG3CH271442,203 532 mi(подтвержден),17.05.2024 18:00 UTC,3.6l 6,Серый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""ANTHONY, NEW MEXICO"",$ 26 762 USD,$ 8 450 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,
2010 Honda Civic Exl,$ 1 650 USD,1,2HGFA1F96AH525789,180 617 mi(подтвержден),17.05.2024 19:00 UTC,1.8l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 0 USD,$ 7 725 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части,4-дверный седан
2008 Ford Escape Xlt,$ 675 USD,1,1FMCU93178KA06190,142 632 mi,17.05.2024 18:00 UTC,3.0l 6,Красный,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,двигатель запускается,""ANTHONY, TEXAS"",$ 6 142 USD,$ 5 925 USD,TX - BONDED TITLE - SALVAGE,Неизвестно,Повреждение передней части,Незначительная вмятина/царапины,
2000 Buick Lesabre Limited,$ 350 USD,1,1G4HR54K3YU282796,,17.05.2024 18:00 UTC,3.8l 6,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ANTHONY, NEW MEXICO"",$ 3 850 USD,$ 0 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,4-дверный седан
2012 Gmc Terrain Slt,$ 150 USD,1,2GKALUEK8C6141525,,17.05.2024 19:00 UTC,2.4l 4,Пожар,Автоматическая,Этанолосодержащий бензин,передний привод,,улучшенные транспортные средства,""BAKERSFIELD, CALIFORNIA"",$ 21 361 USD,$ 6 525 USD,CA - NON-REPAIRABLE VEHICLE CERT,Кража,Пожар,,4-дверный спорт
2006 Toyota Scion Tc,$ 925 USD,1,JTKDE177660078652,186 530 mi,17.05.2024 19:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""VALLEJO, CALIFORNIA"",$ 6 427 USD,$ 4 338 USD,CA - SALVAGE CERTIFICATE,Столкновение,Незначительная вмятина/царапины,,
2004 Toyota Corolla Ce,$ 1 350 USD,1,1NXBR32E04Z319210,278 606 mi(подтвержден),17.05.2024 19:00 UTC,1.8l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""VALLEJO, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2009 Acura Tl,$ 2 650 USD,1,19UUA86299A014994,126 862 mi,17.05.2024 17:00 UTC,3.5l 6,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 7 612 USD,$ 7 675 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2018 Dodge Journey Se,$ 675 USD,2,3C4PDCAB3JT269411,91 786 mi(подтвержден),17.05.2024 18:00 UTC,2.4l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""ANTHONY, NEW MEXICO"",$ 11 240 USD,$ 11 175 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение ходовой части,
2010 Ford Ranger Super Cab,$ 2 700 USD,1,1FTKR4EE4APA76274,138 433 mi(подтвержден),17.05.2024 19:00 UTC,4.0l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""SAN DIEGO, CALIFORNIA"",$ 11 155 USD,$ 8 550 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2015 Honda Accord Exl,$ 3 600 USD,1,1HGCR3F84FA036683,88 837 mi(подтвержден),17.05.2024 19:00 UTC,3.5l 6,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""VALLEJO, CALIFORNIA"",$ 13 402 USD,$ 13 200 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2002 Dodge Ram 1500,$ 700 USD,1,1D7HA18N72S701802,,17.05.2024 17:00 UTC,4.7l 8,Темно-бордовый,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""HOUSTON, TEXAS"",$ 3 823 USD,$ 4 350 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2009 Honda Cr-v Lx,$ 800 USD,1,5J6RE383X9L026863,87 127 mi(подтвержден),17.05.2024 19:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""TUCSON, ARIZONA"",$ 9 087 USD,$ 11 750 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Механическое повреждение,
2011 Toyota Prius,$ 1 750 USD,1,JTDKN3DU1B5325447,,17.05.2024 19:00 UTC,1.8l 4,Черный,Автоматическая,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,""VALLEJO, CALIFORNIA"",$ 0 USD,$ 8 400 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины,
1997 Jeep Wrangler / Tj Sport,$ 975 USD,1,1J4FY19S2VP517855,,17.05.2024 18:00 UTC,4.0l 6,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""ANTHONY, TEXAS"",$ 9 200 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повсюду,,
2010 Subaru Impreza 2.5i Premium,$ 300 USD,1,JF1GH6B65AG809505,,17.05.2024 19:00 UTC,2.5l 4,Синий,Механическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""SAN DIEGO, CALIFORNIA"",$ 7 838 USD,$ 7 400 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
2010 Toyota Prius,$ 900 USD,1,JTDKN3DU1A0032918,332 859 mi(подтвержден),17.05.2024 19:00 UTC,1.8l 4,Черный,Автоматическая,Гибрид,передний привод,,улучшенные транспортные средства,""SAN DIEGO, CALIFORNIA"",$ 0 USD,$ 8 700 USD,CA - SALVAGE CERTIFICATE,Столкновение,Вода/Наводнение,,хэтчбек
2020 Honda Civic Lx,$ 4 150 USD,3,2HGFC2F60LH601550,30 130 mi(подтвержден),17.05.2024 17:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 0 USD,$ 20 200 USD,TX - SALVAGE TITLE-FLOOD DAMAGE,Вода/Наводнение,Вода/Наводнение,Повреждение передней части,
2021 Ram 1500 Limited,$ 17 000 USD,1,1C6RREHT5MN710231,59 889 mi(подтвержден),17.05.2024 19:00 UTC,5.7l 8,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 31 746 USD,$ 45 325 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2014 Jeep Wrangler Unlimited Sahara,$ 8 300 USD,1,1C4BJWEG0EL168127,127 412 mi(подтвержден),17.05.2024 19:00 UTC,3.6l 6,Синий,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""PASCO, WASHINGTON"",$ 17 261 USD,$ 18 050 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,
2019 Lexus Es 350,$ 17 500 USD,1,58ABZ1B1XKU041360,10 587 mi(подтвержден),17.05.2024 17:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 19 266 USD,$ 31 175 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,
2008 Nissan Titan Xe,$ 1 150 USD,1,1N6AA07D88N355066,157 342 mi(подтвержден),17.05.2024 19:00 UTC,5.6l 8,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""BAKERSFIELD, CALIFORNIA"",$ 10 350 USD,$ 9 125 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2008 Mercedes-benz C 350,$ 625 USD,1,WDDGF56XX8R031865,90 370 mi(подтвержден),17.05.2024 19:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""BAKERSFIELD, CALIFORNIA"",$ 13 028 USD,$ 4 950 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части,
1993 Honda Civic Dx,$ 100 USD,1,2HGEH2465PH517536,223 989 mi,17.05.2024 19:00 UTC,1.5l 4,Зеленый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""PASCO, WASHINGTON"",$ 5 296 USD,$ 0 USD,WA - BILL OF SALE,Кража,Повсюду,Разукомплектовано,
2008 Honda Civic Hybrid,$ 400 USD,1,JHMFA36268S015098,166 018 mi,17.05.2024 19:00 UTC,1.3l 4,Серый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,""TUCSON, ARIZONA"",$ 5 282 USD,$ 6 625 USD,AZ - CERT OF TITLE - SALVAGE,Материальный ущерб,Повреждение ходовой части,Повреждение передней части,4-дверный седан
2021 Lexus Es 350 Base,$ 20 500 USD,1,58ADZ1B19MU109532,29 718 mi(подтвержден),17.05.2024 19:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""TUCSON, ARIZONA"",$ 24 945 USD,$ 38 375 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,Повреждение передней части,
2007 Honda Accord Ex,$ 125 USD,1,1HGCM56857A034520,221 394 mi(подтвержден),17.05.2024 19:00 UTC,2.4l 4,Желто-коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""VALLEJO, CALIFORNIA"",$ 0 USD,$ 7 850 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2019 Ram 1500 Classic Tradesman,$ 4 350 USD,1,1C6RR7FT5KS566130,106 748 mi(подтвержден),17.05.2024 19:00 UTC,5.7l 8,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""ANDERSON, CALIFORNIA"",$ 22 375 USD,$ 23 300 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение ходовой части,Повреждение передней части,
2016 Jeep Wrangler Unlimited Sport,$ 7 600 USD,1,1C4BJWDG3GL338260,120 915 mi(подтвержден),17.05.2024 17:00 UTC,3.6l 6,Угольный,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 10 413 USD,$ 20 200 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,
2014 Infiniti Q50 Hybrid Premium,$ 625 USD,1,JN1AV7AR1EM701547,110 909 mi(подтвержден),17.05.2024 17:00 UTC,3.5l 6,Белый,Автоматическая,Гибрид,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""HOUSTON, TEXAS"",$ 10 594 USD,$ 14 650 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,
2004 Ford Mustang,$ 600 USD,1,1FAFP40604F173298,166 486 mi(подтвержден),17.05.2024 19:00 UTC,3.9l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 3 689 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,
2008 Chevrolet Silverado K1500,$ 1 300 USD,1,3GCEK133X8G192224,243 477 mi(подтвержден),17.05.2024 19:00 UTC,5.3l 8,Серый,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""VALLEJO, CALIFORNIA"",$ 9 025 USD,$ 10 350 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
2007 Chevrolet Tahoe K1500,$ 1 350 USD,1,1GNFK13057J235320,,17.05.2024 19:00 UTC,5.3l 8,Белый,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,,""BAKERSFIELD, CALIFORNIA"",$ 10 281 USD,$ 8 450 USD,CA - SALVAGE CERTIFICATE,Столкновение,Вода/Наводнение,,4-дверный спорт
2020 Nissan Altima S,$ 1 350 USD,1,1N4BL4BV0LC243428,,17.05.2024 18:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ANTHONY, NEW MEXICO"",$ 22 720 USD,$ 19 100 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,
2016 Jeep Compass Sport,$ 525 USD,1,1C4NJCBA1GD665342,,17.05.2024 19:00 UTC,2.0l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""TUCSON, ARIZONA"",$ 17 167 USD,$ 8 925 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Повреждение передней части,Повреждение рамы,
2013 Subaru Impreza Sport Premium,$ 600 USD,1,JF1GPAL62D1842733,97 628 mi(подтвержден),17.05.2024 18:00 UTC,2.0l 4,Синий,Механическая,Бензин,Полный привод,,улучшенные транспортные средства,""ANTHONY, TEXAS"",$ 9 355 USD,$ 8 600 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2019 Kia Forte Fe,$ 3 500 USD,1,3KPF24AD8KE071776,211 270 mi(подтвержден),17.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""VALLEJO, CALIFORNIA"",$ 0 USD,$ 15 850 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Разукомплектовано,Незначительная вмятина/царапины,
2014 Volkswagen Jetta Gli,$ 525 USD,1,3VW5T7AJ7EM384163,91 467 mi(подтвержден),17.05.2024 18:00 UTC,2.0l 4,Белый,Механическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ANTHONY, NEW MEXICO"",$ 12 399 USD,$ 9 650 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,4-дверный седан
2017 Jeep Patriot Sport,$ 2 100 USD,1,1C4NJPBA8HD211324,110 661 mi(подтвержден),17.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 8 230 USD,$ 10 150 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,4-дверный спорт
2015 Toyota Corolla L,$ 1 300 USD,1,5YFBURHE1FP281807,82 972 mi(подтвержден),17.05.2024 19:00 UTC,1.8l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""BAKERSFIELD, CALIFORNIA"",$ 16 621 USD,$ 10 950 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2015 Lexus Rx 350,$ 8 300 USD,2,2T2ZK1BA9FC184426,132 446 mi(подтвержден),17.05.2024 17:00 UTC,3.5l 6,Белый,,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 8 726 USD,$ 16 475 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2008 Honda Odyssey Exl,$ 1 550 USD,1,5FNRL38758B048382,165 523 mi(подтвержден),17.05.2024 19:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 5 235 USD,$ 5 900 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2023 Honda Civic Sport Touring,$ 8 100 USD,1,19XFL1H89PE009024,12 872 mi(подтвержден),17.05.2024 19:00 UTC,1.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""ANDERSON, CALIFORNIA"",$ 29 737 USD,$ 31 500 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2012 Honda Civic Exl,$ 1 200 USD,1,2HGFB2F91CH525057,88 206 mi(подтвержден),17.05.2024 17:00 UTC,1.8l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 15 083 USD,$ 9 050 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Повреждение передней части,4-дверный седан
2024 Chevrolet Malibu Rs,$ 8 000 USD,3,1G1ZG5ST0RF144464,1 043 mi,17.05.2024 17:00 UTC,1.5l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 0 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,
2018 Mini Cooper S,$ 3 200 USD,1,WMWXP7C58J2A47891,,17.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""VAN NUYS, CALIFORNIA"",$ 0 USD,$ 17 275 USD,CA - SALVAGE CERTIFICATE,Кража,Незначительная вмятина/царапины,,
2023 Mitsubishi Outlander Sport S/se,$ 775 USD,1,JA4ARUAU6PU000813,,17.05.2024 19:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""SAN DIEGO, CALIFORNIA"",$ 23 647 USD,$ 25 050 USD,CA - SALVAGE CERTIFICATE,Кража,Опрокидывание/Перевертышь,,
2021 Ford Ecosport Se,$ 2 750 USD,1,MAJ3S2GEXMC401327,40 802 mi(подтвержден),17.05.2024 17:00 UTC,1.0l 3,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 13 730 USD,$ 17 750 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Повреждение стороны,,
2017 Nissan Sentra S,$ 750 USD,1,3N1AB7AP5HL670972,119 397 mi(подтвержден),17.05.2024 19:00 UTC,1.8l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ANDERSON, CALIFORNIA"",$ 9 302 USD,$ 8 450 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
1990 Ford F150,$ 125 USD,3,1FTEX15N3LKA35555,88 127 mi,17.05.2024 19:00 UTC,5.0l 8,Зеленый,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""VALLEJO, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Дилерские услуги Copart,Незначительная вмятина/царапины,,
2017 Chevrolet Cruze Lt,$ 750 USD,1,3G1BE5SM1HS573722,112 168 mi(подтвержден),17.05.2024 19:00 UTC,1.4l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""SAN DIEGO, CALIFORNIA"",$ 0 USD,$ 10 600 USD,CA - LIEN PAPERS-CLEAN OR AC,Столкновение,Повреждение передней части,Повреждение стороны,4-дверный седан
2020 Chevrolet Equinox Lt,$ 5 800 USD,1,2GNAXKEVXL6184690,53 410 mi(подтвержден),17.05.2024 17:00 UTC,1.5l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 8 951 USD,$ 20 175 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Град,,
2007 United Specialties Motorhome,$ 6 400 USD,1,1FUYSDYB4WL968449,,17.05.2024 18:00 UTC,6,Белый,Автоматическая,Дизель,задний привод,,улучшенные транспортные средства,""ANTHONY, NEW MEXICO"",$ 0 USD,$ 0 USD,NM - CERT OF TITLE-SALVAGE,Пожар,Пожар,,трактор
2012 Chevrolet Silverado K1500 Ls,$ 2 250 USD,3,1GCRKREA8CZ323719,147 820 mi(подтвержден),17.05.2024 19:00 UTC,4.8l 8,Серебряный,Автоматическая,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,""SAN DIEGO, CALIFORNIA"",$ 0 USD,$ 11 900 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,4-дверный удлиненный
2001 Chevrolet Silverado K2500 Heavy Duty,$ 875 USD,2,1GCHK29G91E279526,171 979 mi,17.05.2024 19:00 UTC,8.1l 8,Синий,Автоматическая,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,""BAKERSFIELD, UTAH"",$ 8 824 USD,$ 5 650 USD,UT - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2005 Ford Escape Limited,$ 125 USD,1,1FMCU941X5KA67110,158 078 mi,17.05.2024 19:00 UTC,3.0l 6,Серый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,двигатель запускается,""VALLEJO, CALIFORNIA"",$ 7 310 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повсюду,,4-дверный спорт
2018 Nissan Sentra S,$ 3 200 USD,1,3N1AB7AP3JL660494,85 923 mi(подтвержден),17.05.2024 19:00 UTC,1.8l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 8 976 USD,$ 12 350 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части,
2016 Buick Verano,$ 1 600 USD,2,1G4PP5SKXG4158561,57 790 mi(подтвержден),17.05.2024 17:00 UTC,2.4l 4,Серый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 5 335 USD,$ 9 850 USD,TX - CERT OF TITLE-REBUILT SALVAGE,Столкновение,Повреждение передней части,,
2021 Nissan Sentra Sv,$ 5 600 USD,1,3N1AB8CV9MY263204,51 337 mi(подтвержден),17.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 17 111 USD,$ 19 825 USD,TX - SALVAGE VEHICLE TITLE,Материальный ущерб,Повреждение стороны,,
2008 Toyota Sequoia Sr5,$ 3 500 USD,1,5TDBY64A18S022301,223 752 mi,17.05.2024 14:00 UTC,5.7l 8,Синий,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""KNIGHTDALE, NORTH CAROLINA"",$ 12 451 USD,$ 11 250 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повсюду,Незначительная вмятина/царапины,
2005 Honda Accord Ex,$ 60 USD,1,JHMCM568X5C000037,206 547 mi(подтвержден),17.05.2024 19:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""VALLEJO, CALIFORNIA"",$ 5 148 USD,$ 6 750 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2013 Chevrolet Silverado C1500 Lt,$ 1 500 USD,2,3GCPCSE08DG329752,267 941 mi(подтвержден),17.05.2024 17:00 UTC,5.3l 8,Серый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""TULSA, OKLAHOMA"",$ 0 USD,$ 13 300 USD,OK - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,Повреждение передней части,пикап экипажа
2013 Toyota Rav4 Limited,$ 6 300 USD,1,2T3YFREV9DW008223,65 422 mi(подтвержден),17.05.2024 19:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""TUCSON, ARIZONA"",$ 9 296 USD,$ 11 875 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение ходовой части,4-дверный спорт
2007 Toyota Fj Cruiser,$ 4 100 USD,1,JTEBU11F370063928,184 770 mi,17.05.2024 18:00 UTC,4.0l 6,Темно-бордовый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""ANTHONY, TEXAS"",$ 14 758 USD,$ 11 925 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,4-дверный спорт
2023 Toyota Camry Xse,$ 15 800 USD,1,4T1K61AK4PU774568,9 639 mi(подтвержден),17.05.2024 19:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""VAN NUYS, CALIFORNIA"",$ 7 622 USD,$ 34 400 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,
2020 Volvo S60 T5 R-design,$ 10 300 USD,1,7JR102FM4LG033090,38 104 mi(подтвержден),17.05.2024 19:00 UTC,2.0l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 18 452 USD,$ 23 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2023 Nissan Rogue Sv,$ 10 500 USD,2,JN8BT3BB5PW220990,2 740 mi(подтвержден),17.05.2024 17:00 UTC,1.5l 3,Темно-бордовый,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""HOUSTON, TENNESSEE"",$ 0 USD,$ 29 575 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2010 Lincoln Mkz,$ 350 USD,1,3LNHL2GC5AR636805,,17.05.2024 19:00 UTC,3.5l 6,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""TUCSON, ARIZONA"",$ 12 000 USD,$ 5 300 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение ходовой части,
2004 Toyota Land Cruiser,$ 7 000 USD,1,JTEHT05J742063131,205 388 mi(подтвержден),17.05.2024 19:00 UTC,4.7l 8,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""VALLEJO, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,4-дверный спорт
2004 Suzuki Xl7 Ex,$ 175 USD,1,JS3TX92V644105521,,17.05.2024 19:00 UTC,2.7l 6,Красный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""VALLEJO, CALIFORNIA"",$ 4 192 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
2017 Ford Escape Titanium,$ 1 850 USD,1,1FMCU0J95HUA22803,34 608 mi(подтвержден),17.05.2024 17:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 12 434 USD,$ 13 200 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,4-дверный спорт
2015 Buick Verano Convenience,$ 1 450 USD,1,1G4PR5SK5F4132619,88 548 mi(подтвержден),17.05.2024 18:00 UTC,2.4l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ANTHONY, NEW MEXICO"",$ 12 554 USD,$ 9 125 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
