Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Кузов
2020 Toyota Rav4 Xle,$ 7 200 USD,1,2T3W1RFV1LW099541,,14.05.2024 17:00 UTC,2.5l 4,Темно-бордовый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""CORPUS CHRISTI, TEXAS"",$ 30 091 USD,$ 25 450 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Пожар двигателя,,
2017 Hyundai Elantra Se,$ 1 850 USD,1,5NPD84LF7HH049311,86 721 mi(подтвержден),14.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 11 265 USD,$ 11 375 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,4-дверный седан
2018 Chevrolet Bolt Ev Lt,$ 4 850 USD,1,1G1FW6S07J4117554,44 510 mi(подтвержден),14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,передний привод,Ключи присутствуют,двигатель запускается,""ELDRIDGE, IOWA"",$ 4 051 USD,$ 11 900 USD,IA - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2017 Cadillac Xt5,$ 6 000 USD,1,1GYKNARS8HZ182634,63 364 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""KANSAS CITY, KANSAS"",$ 15 263 USD,$ 17 975 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,,
2017 Chevrolet Cruze Lt,$ 5 100 USD,1,1G1BE5SM1H7174503,64 548 mi(подтвержден),14.05.2024 17:00 UTC,1.4l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 12 141 USD,$ 11 200 USD,TX - CERTIFICATE OF TITLE,Град,Град,,
2022 Tesla Model 3,$ 12 200 USD,1,5YJ3E1EA5NF349850,10 456 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,задний привод,Ключи присутствуют,двигатель запускается,""SAN MARTIN, CALIFORNIA"",$ 28 932 USD,$ 29 700 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение ходовой части,
2022 Ford Mustang Mach-e California Route 1,$ 9 900 USD,1,3FMTK2R75NMA49861,,14.05.2024 16:00 UTC,,Серебряный,Автоматическая,Электричество,задний привод,,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 29 396 USD,$ 32 175 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение ходовой части,Повреждение передней части,
2022 Ford Mustang Mach-e Gt,$ 8 600 USD,1,3FMTK4SE3NMA12392,16 229 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""MENTONE, CALIFORNIA"",$ 44 449 USD,$ 40 175 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2021 Kia Forte Gt Line,$ 3 750 USD,2,3KPF34ADXME277021,20 268 mi(подтвержден),14.05.2024 19:00 UTC,2.0l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 24 624 USD,$ 20 800 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2011 Honda Odyssey Exl,$ 2 400 USD,1,5FNRL5H60BB089724,135 191 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 7 172 USD,$ 8 050 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,спортивная версия
2014 Ford F250 Super Duty,$ 10 300 USD,1,1FT7W2BT3EEA02805,240 348 mi(подтвержден),14.05.2024 17:00 UTC,6.7l 8,Белый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 0 USD,$ 28 975 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,пикап экипажа
2017 Kia Soul +,$ 1 350 USD,1,KNDJP3A5XH7425787,148 379 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 7 830 USD,$ 11 525 USD,NE - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,
2005 Lexus Rx 330,$ 1 700 USD,1,2T2HA31U85C082068,163 592 mi,14.05.2024 17:00 UTC,3.3l 6,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 6 383 USD,$ 7 850 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Повреждение ходовой части,,
2018 Hyundai Elantra Sel,$ 1 000 USD,1,5NPD84LF3JH338093,160 995 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""Greenwell springs, LOUISIANA"",$ 11 157 USD,$ 15 100 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2021 Toyota Camry Xse,$ 21 300 USD,1,4T1K31AK6MU029678,31 433 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Белый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 26 098 USD,$ 32 550 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,
2017 Audi A3 Premium Plus,$ 6 800 USD,1,WAUJ8GFF8H1010702,69 343 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Белый,,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 17 000 USD,$ 19 200 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,,4-дверный седан
2022 Tesla Model 3,$ 3 900 USD,1,5YJ3E1EAXNF343204,18 359 mi(подтвержден),14.05.2024 16:00 UTC,,Серебряный,Автоматическая,Электричество,задний привод,,двигатель запускается,""BRIGHTON, COLORADO"",$ 31 089 USD,$ 28 125 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2013 Nissan Rogue S,$ 600 USD,4,JN8AS5MV5DW654856,180 206 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Красный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 15 566 USD,$ 7 300 USD,NE - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,4-дверный спорт
2016 Chevrolet Malibu Lt,$ 3 400 USD,1,1G1ZE5ST8GF345984,106 236 mi(подтвержден),14.05.2024 17:00 UTC,1.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 10 714 USD,$ 10 825 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2022 Cadillac Xt5 Sport,$ 1 150 USD,1,1GYKNGRS5NZ144499,,14.05.2024 19:00 UTC,3.6l 6,Угольный,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 0 USD,$ 42 875 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повсюду,Повреждение задней части,
2004 Mazda 3 S,$ 300 USD,1,JM1BK123741170923,182 881 mi,14.05.2024 17:00 UTC,2.3l 4,Черный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 0 USD,$ 4 500 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2016 Jeep Cherokee Latitude,$ 7 100 USD,1,1C4PJMCS8GW101679,78 401 mi(подтвержден),14.05.2024 17:00 UTC,3.2l 6,Угольный,Автоматическая,Этанолосодержащий бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 11 875 USD,$ 13 825 USD,NE - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,,4-дверный спорт
2009 Honda Civic Ex,$ 1 450 USD,1,2HGFA16849H302878,86 105 mi,14.05.2024 17:00 UTC,1.8l 4,Черный,,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 11 576 USD,$ 7 050 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2013 Kia Optima Lx,$ 1 550 USD,2,5XXGM4A77DG220715,118 874 mi(подтвержден),14.05.2024 18:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 5 266 USD,$ 8 425 USD,CO - PUBLIC - SALVAGE TITLE,Неизвестно,Повреждение ходовой части,Повреждение передней части,
2012 Dodge Grand Caravan Crew,$ 2 400 USD,1,2C4RDGDG2CR299111,132 858 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Золотой,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 6 619 USD,$ 5 450 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2021 Tesla Model 3,$ 6 800 USD,1,5YJ3E1EB7MF010191,54 097 mi(подтвержден),14.05.2024 16:00 UTC,,Серый,Автоматическая,Электричество,Полный привод,Ключи присутствуют,двигатель запускается,""GAINESVILLE, GEORGIA"",$ 29 311 USD,$ 31 650 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,Повреждение стороны,
2013 Cadillac Srx Premium Collection,$ 1 500 USD,1,3GYFNJE30DS596952,162 320 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 8 297 USD,$ 10 600 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Неизвестно,Повреждение передней части,,
2006 Honda Accord Se,$ 850 USD,1,1HGCM56326A082527,296 698 mi,14.05.2024 19:00 UTC,2.4l 4,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 1 990 USD,$ 5 575 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,4-дверный седан
2000 Honda Accord Ex,$ 250 USD,1,1HGCG5560YA090714,206 452 mi(подтвержден),14.05.2024 19:00 UTC,2.3l 4,Черный,Механическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 7 532 USD,$ 3 450 USD,AZ - CERT OF TITLE - SALVAGE,Материальный ущерб,Повреждение передней части,,
2015 Kia Soul,$ 1 250 USD,1,KNDJN2A28F7230306,79 111 mi(подтвержден),14.05.2024 17:00 UTC,1.6l 4,Желто-коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""MCFARLAND, WISCONSIN"",$ 8 454 USD,$ 7 425 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение передней части,,
2008 Jeep Commander Limited,$ 400 USD,1,1J8HG58N88C170959,168 620 mi,14.05.2024 17:00 UTC,4.7l 8,Желто-коричневый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""KANSAS CITY, KANSAS"",$ 5 442 USD,$ 6 025 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,,
2014 Mazda 3 Touring,$ 3 000 USD,1,JM1BM1L71E1154388,102 264 mi(подтвержден),14.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 12 295 USD,$ 10 300 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2021 Volkswagen Id.4 Pro S,$ 9 700 USD,1,WVGTMPE23MP056558,31 542 mi(подтвержден),14.05.2024 16:00 UTC,,Синий,Автоматическая,Электричество,задний привод,Ключи присутствуют,улучшенные транспортные средства,""WILMER, TEXAS"",$ 20 691 USD,$ 30 200 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2008 Lincoln Town Car Signature Limited,$ 875 USD,1,2LNHM82W08X646655,,14.05.2024 17:00 UTC,4.6l 8,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""CORPUS CHRISTI, TEXAS"",$ 5 473 USD,$ 5 000 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Механическое повреждение,,
2022 Toyota Rav4 Xle Premium,$ 12 500 USD,1,2T3A1RFV7NC257590,49 283 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""HAM LAKE, MINNESOTA"",$ 0 USD,$ 33 300 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,,
2020 Tesla Model X,$ 10 000 USD,1,5YJXCBE2XLF237726,50 000 mi(подтвержден),14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 37 412 USD,$ 49 925 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части,
2004 Chevrolet Trailblazer Ext Ls,$ 500 USD,1,1GNET16SX46114870,202 115 mi,14.05.2024 17:00 UTC,4.2l 6,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 5 184 USD,$ 0 USD,NE - CERT OF TITLE-SALVAGE,Столкновение,Опрокидывание/Перевертышь,Повреждение стороны,
2011 Honda Insight Ex,$ 850 USD,1,JHMZE2H76BS002640,199 227 mi(подтвержден),14.05.2024 17:00 UTC,1.3l 4,Черный,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 7 157 USD,$ 6 850 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2012 Nissan Pathfinder S,$ 250 USD,1,5N1AR1NB4CC613585,225 121 mi(подтвержден),14.05.2024 17:00 UTC,4.0l 6,Красный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""HAM LAKE, MINNESOTA"",$ 6 172 USD,$ 6 450 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Опрокидывание/Перевертышь,,
2014 Hyundai Veloster,$ 1 500 USD,1,KMHTC6AD4EU216826,88 576 mi(подтвержден),14.05.2024 17:00 UTC,1.6l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 8 800 USD,$ 6 225 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,,
2018 Tesla Model 3,$ 6 800 USD,1,5YJ3E1EAXJF126455,95 519 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,задний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 22 150 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,
2013 Nissan Altima 2.5,$ 550 USD,1,1N4AL3AP3DC147061,,14.05.2024 17:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 5 776 USD,$ 7 050 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2017 Chevrolet Cruze Premier,$ 2 850 USD,1,1G1BF5SM6H7127500,77 982 mi(подтвержден),14.05.2024 17:00 UTC,1.4l 4,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""MCFARLAND, WISCONSIN"",$ 7 789 USD,$ 11 025 USD,WI - CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,,
2019 Jeep Grand Cherokee Limited,$ 4 750 USD,1,1C4RJEBG3KC584178,108 688 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Черный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""Greenwell springs, LOUISIANA"",$ 13 629 USD,$ 23 600 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Механическое повреждение,Незначительная вмятина/царапины,
2008 Honda Pilot Exl,$ 325 USD,1,5FNYF28528B024455,201 792 mi,14.05.2024 17:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, ALABAMA"",$ 0 USD,$ 4 925 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение ходовой части,
2003 Chevrolet Silverado K1500,$ 7 000 USD,2,2GCEK19N331366421,159 264 mi,14.05.2024 18:00 UTC,6.0l 8,Красный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""DENVER, COLORADO"",$ 0 USD,$ 0 USD,CO - SALVAGE TITLE,Дилерские услуги Copart,Незначительная вмятина/царапины,,4-дверный удлиненный
2016 Nissan Altima 2.5,$ 775 USD,1,1N4AL3AP7GC180004,111 530 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""KANSAS CITY, MISSOURI"",$ 25 490 USD,$ 9 475 USD,MO - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение стороны,4-дверный седан
2008 Hyundai Sonata Gls,$ 250 USD,1,5NPET46CX8H319619,,14.05.2024 17:00 UTC,2.4l 4,Зеленый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""MCFARLAND, WISCONSIN"",$ 4 135 USD,$ 5 200 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение передней части,,
2018 Kia Soul +,$ 3 350 USD,2,KNDJP3A54J7607099,75 316 mi(подтвержден),14.05.2024 19:00 UTC,2.0l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 100 USD,$ 12 825 USD,CA - CERTIFICATE OF TITLE,Кража,Повреждение задней части,,
2012 Gmc Sierra C1500,$ 2 750 USD,1,1GTN1TEX4CZ350953,104 826 mi(подтвержден),14.05.2024 17:00 UTC,4.3l 6,Синий,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""Greenwell springs, LOUISIANA"",$ 0 USD,$ 7 975 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,подбирать
2018 Honda Accord Touring,$ 6 900 USD,1,1HGCV1F96JA209721,84 518 mi(подтвержден),14.05.2024 17:00 UTC,1.5l 4,Золотой,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 14 546 USD,$ 22 800 USD,TN - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
2013 Infiniti G37 Base,$ 3 000 USD,1,JN1CV6AP2DM725310,117 085 mi(подтвержден),14.05.2024 17:00 UTC,3.7l 6,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, ALABAMA"",$ 15 361 USD,$ 8 275 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,4-дверный седан
2014 Honda Accord Lx,$ 1 900 USD,1,1HGCR2F38EA201065,139 029 mi(подтвержден),14.05.2024 19:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 11 336 USD,$ 9 950 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2021 Tesla Model Y,$ 12 600 USD,1,5YJYGDEEXMF088475,64 147 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,Полный привод,Ключи присутствуют,заводится и едет,""HOMESTEAD, FLORIDA"",$ 22 178 USD,$ 33 975 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение задней части,,
2008 Acura Tl,$ 300 USD,1,19UUA66278A001034,273 230 mi,14.05.2024 17:00 UTC,3.2l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, ALABAMA"",$ 3 916 USD,$ 4 850 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2013 Ford Edge Limited,$ 400 USD,1,2FMDK4KC1DBC34173,210 915 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""KANSAS CITY, KANSAS"",$ 7 114 USD,$ 8 900 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,
2013 Ford F150 Supercrew,$ 2 400 USD,1,1FTFW1CF1DFD82458,204 288 mi(подтвержден),14.05.2024 17:00 UTC,5.0l 8,Красный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, ALABAMA"",$ 8 323 USD,$ 14 425 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,Механическое повреждение,
2019 Ford F150 Supercrew,$ 5 800 USD,1,1FTEW1CP6KKE75629,209 468 mi(подтвержден),14.05.2024 17:00 UTC,2.7l 6,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 15 277 USD,$ 29 775 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,Повреждение задней части,
2018 Jeep Renegade Latitude,$ 1 400 USD,1,ZACCJABB6JPG92906,,14.05.2024 17:00 UTC,2.4l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""MCFARLAND, WISCONSIN"",$ 17 879 USD,$ 14 725 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение передней части,Повреждение стороны,
2016 Dodge Challenger Sxt,$ 7 700 USD,2,2C3CDZAG5GH113566,63 411 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Красный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 15 486 USD,$ 21 200 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,
2008 Toyota Tacoma Access Cab,$ 6 000 USD,1,5TEUU42N78Z564925,166 108 mi(подтвержден),14.05.2024 18:00 UTC,4.0l 6,Серебряный,Механическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""DENVER, COLORADO"",$ 1 639 USD,$ 12 675 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повсюду,,
2014 Toyota Camry L,$ 625 USD,1,4T1BF1FK5EU432116,156 000 mi(подтвержден),14.05.2024 18:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""HELENA, MONTANA"",$ 15 981 USD,$ 11 275 USD,MT - SALVAGE CERTIFICATE OF A VEHIC,Неизвестно,Повсюду,,
2022 Tesla Model Y,$ 7 700 USD,1,7SAYGAEE5NF574744,60 315 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,Полный привод,,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 22 025 USD,$ 37 675 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Повреждение стороны,
2023 Kia Ev6 Light,$ 13 800 USD,1,KNDC3DLC8P5151442,3 732 mi(подтвержден),14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,Полный привод,Ключи присутствуют,заводится и едет,""INDIANAPOLIS, INDIANA"",$ 0 USD,$ 41 650 USD,IN - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение задней части,Повреждение стороны,
2016 Fiat 500 Electric,$ 2 150 USD,1,3C3CFFGE6GT229249,38 611 mi(подтвержден),14.05.2024 17:00 UTC,,Синий,Автоматическая,Электричество,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 8 307 USD,$ 6 825 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2018 Nissan Titan Sv,$ 11 300 USD,1,1N6AA1E68JN531906,110 360 mi(подтвержден),14.05.2024 17:00 UTC,5.6l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 0 USD,$ 24 050 USD,TX - CERTIFICATE OF TITLE,Град,Град,,
2006 Nissan Altima S,$ 300 USD,1,1N4AL11D76C232000,160 433 mi,14.05.2024 19:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 9 339 USD,$ 4 863 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,4-дверный седан
2015 Ford Mustang,$ 6 900 USD,1,1FA6P8TH6F5307003,55 015 mi(подтвержден),14.05.2024 19:00 UTC,2.3l 4,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 18 239 USD,$ 11 075 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,,купе
2019 Bmw M550xi,$ 11 200 USD,1,WBAJB9C53KB464656,51 810 mi(подтвержден),14.05.2024 17:00 UTC,4.4l 8,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 39 249 USD,$ 42 775 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2014 Dodge Grand Caravan Sxt,$ 875 USD,1,2C4RDGCG4ER261786,,14.05.2024 17:00 UTC,3.6l 6,Красный,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""MCFARLAND, WISCONSIN"",$ 7 356 USD,$ 7 000 USD,WI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,
2013 Hyundai Santa Fe Limited,$ 1 100 USD,1,KM8SR4HF2DU004494,190 245 mi(подтвержден),14.05.2024 18:00 UTC,3.3l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BRIGHTON, WYOMING"",$ 8 992 USD,$ 8 125 USD,WY - DIS/DLR/EXP ONLY CLEAN TITLE,Столкновение,Повреждение передней части,,4-дверный спорт
2023 Kia Ev6 Light,$ 10 800 USD,1,KNDC34LA6P5118115,,14.05.2024 16:00 UTC,,Красный,Автоматическая,Электричество,задний привод,Ключи присутствуют,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 25 163 USD,$ 36 775 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение стороны,Повреждение передней части,
