Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Кузов
2014 Ford Focus Se,$ 575 USD,1,1FADP3K2XEL431826,149 397 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 7 318 USD,$ 6 300 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Неизвестно,Повреждение передней части,,
2016 Lexus Nx 200t Base,$ 5 500 USD,1,JTJYARBZ6G2023245,182 898 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""HOUSTON, TEXAS"",$ 21 286 USD,$ 18 225 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2011 Hyundai Sonata Gls,$ 1 400 USD,1,5NPEB4AC1BH143528,97 226 mi(подтвержден),14.05.2024 17:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 7 225 USD,$ 5 375 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение задней части,,
2016 Lincoln Mkz,$ 575 USD,2,3LN6L2JK1GR616406,86 219 mi(подтвержден),14.05.2024 17:00 UTC,3.7l 6,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 15 065 USD,$ 13 450 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2007 Buick Rendezvous Cx,$ 325 USD,3,3G5DA03L87S589913,114 702 mi,14.05.2024 17:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 4 463 USD,$ 7 450 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,
2010 Toyota Tacoma Double Cab,$ 3 400 USD,2,5TELU4EN0AZ712023,179 661 mi(подтвержден),14.05.2024 19:00 UTC,4.0l 6,Белый,Механическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 14 546 USD,$ 14 600 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2015 Chevrolet Malibu 1lt,$ 1 550 USD,2,1G11C5SL9FF218680,81 656 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Фиолетовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 9 433 USD,$ 13 025 USD,MN - PARTS VEHICLE BILL OF SALE,Неизвестно,Повреждение стороны,Повреждение передней части,
2011 Volkswagen Jetta Sel,$ 525 USD,1,3VWLX7AJ1BM077806,146 210 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 5,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 5 832 USD,$ 6 750 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение передней части,,
2014 Dodge Dart Gt,$ 400 USD,1,1C3CDFEBXED866839,207 364 mi(подтвержден),14.05.2024 17:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 5 818 USD,$ 7 275 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Неизвестно,Повреждение стороны,,
2023 Mercedes-benz Eqb 250+,$ 10 800 USD,1,W1N9M0CB3PN069425,5 110 mi(подтвержден),14.05.2024 16:00 UTC,,Серебряный,Автоматическая,Электричество,передний привод,Ключи присутствуют,улучшенные транспортные средства,""RIVERVIEW, FLORIDA"",$ 34 463 USD,$ 44 300 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,Повреждение стороны,
