Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач,Город,Штат
2014 Chevrolet Cruze Lt,$ 2 900 USD,1,1G1PC5SB8E7309143,13 308 mi(подтвержден),15.05.2024 19:00 UTC,1.4l 4,,Желто-коричневый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 14 600 USD,OR - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая,PORTLAND, OREGON
2017 Toyota Highlander Se,$ 13 500 USD,1,5TDJZRFH9HS509041,58 672 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 24 550 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая,MARTINEZ, CALIFORNIA
2016 Mini Cooper S,$ 3 750 USD,1,WMWXU3C53G2D28068,56 100 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 12 057 USD,$ 11 325 USD,NV - SALVAGE TITLE,Столкновение,Повсюду,,Автоматическая,NORTH LAS VEGAS, NEVADA
2024 Hyundai Tucson Limited,$ 17 000 USD,2,5NMJE3DE8RH346484,15 176 mi(подтвержден),15.05.2024 16:00 UTC,2.5l 4,,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 18 425 USD,FL - CERTIFICATE OF TITLE,Аренда,Повреждение задней части,,Автоматическая,ARCADIA, FLORIDA
2005 Nissan Altima S,$ 275 USD,1,1N4AL11D75C146586,205 045 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,,Желто-коричневый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 4 338 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,PHOENIX, ARIZONA
2022 Kia K5 Gt Line,$ 6 700 USD,1,5XXG64J2XNG107745,,15.05.2024 17:00 UTC,1.6l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,,$ 19 844 USD,$ 27 450 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,NEW ORLEANS, LOUISIANA
2012 Dodge Ram 1500 Laramie,$ 3 800 USD,1,1C6RD6NTXCS193856,111 913 mi,15.05.2024 19:00 UTC,5.7l 8,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 19 201 USD,$ 16 275 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,NORTH LAS VEGAS, NEVADA
2023 Honda Passport Elite,$ 12 400 USD,1,5FNYF8H00PB014058,7 429 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 26 020 USD,$ 40 850 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,NORTH LAS VEGAS, NEVADA
2019 Exma Mower,$ 550 USD,4,404503010,,15.05.2024 17:00 UTC,,,Красный,,,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 0 USD,TN - BILL OF SALE,Дилерские услуги Copart,Нормальный износ,,Автоматическая,LEBANON, TENNESSEE
2016 Mazda Cx-3 Grand Touring,$ 5 700 USD,1,JM1DKBD75G0110762,72 244 mi,15.05.2024 19:00 UTC,2.0l 4,стационарный (неподвижный),Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 12 800 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Вандализм,Повреждение ходовой части,Автоматическая,MARTINEZ, ARIZONA
2018 Gmc Sierra C1500,$ 9 300 USD,1,3GTP1LEC0JG384617,102 187 mi(подтвержден),15.05.2024 19:00 UTC,5.3l 8,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 15 250 USD,$ 24 100 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение ходовой части,Автоматическая,PORTLAND, OREGON
2014 Toyota Camry L,$ 4 400 USD,1,4T4BF1FK3ER383908,105 923 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 8 054 USD,$ 11 400 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая,PORTLAND, OREGON
2015 Toyota Prius C,$ 4 050 USD,1,JTDKDTB32F1087666,127 679 mi(подтвержден),15.05.2024 19:00 UTC,1.5l 4,,Серый,Гибрид,передний привод,Ключи присутствуют,заводится и едет,$ 10 392 USD,$ 10 575 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Автоматическая,MARTINEZ, CALIFORNIA
2017 Chevrolet Trax Ls,$ 1 500 USD,2,KL7CJKSB6HB103568,98 492 mi(подтвержден),15.05.2024 19:00 UTC,1.4l 4,4-дверный спорт,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 8 782 USD,$ 10 025 USD,NV - SALVAGE TITLE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая,NORTH LAS VEGAS, NEVADA
2015 Ram 1500 Longhorn,$ 5 400 USD,1,1C6RR7WM2FS757177,173 829 mi(подтвержден),15.05.2024 19:00 UTC,3.0l 6,,Белый,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 24 204 USD,$ 24 175 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Незначительная вмятина/царапины,,Автоматическая,PHOENIX, ARIZONA
2006 Chevrolet Malibu Lt,$ 125 USD,7,1G1ZT51876F188854,76 222 mi,15.05.2024 19:00 UTC,3.5l 6,4-дверный седан,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 4 788 USD,OR - CERT OF TITLE-RECONSTRUCTED,Дилерские услуги Copart,Повреждение передней части,,Автоматическая,PORTLAND, OREGON
2021 Toyota Rav4 Xle,$ 6 100 USD,1,2T3P1RFV5MW203857,65 606 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,,Серебряный,Бензин,Полный привод,Ключи присутствуют,,$ 20 521 USD,$ 28 200 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,NORTH LAS VEGAS, NEVADA
2016 Hyundai Tucson Se,$ 2 800 USD,1,KM8J23A40GU211425,98 469 mi,15.05.2024 19:00 UTC,2.0l 4,4-дверный спорт,Серебряный,Бензин,передний привод,,улучшенные транспортные средства,$ 0 USD,$ 12 000 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Вандализм,,Автоматическая,NORTH LAS VEGAS, ARIZONA
2018 Jeep Grand Cherokee Limited,$ 5 200 USD,1,1C4RJFBG1JC249568,31 750 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,,Синий,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,$ 22 358 USD,$ 21 975 USD,WA - BILL OF SALE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая,AIRWAY HEIGHTS, WASHINGTON
2020 Gmc Sierra K2500 Denali,$ 28 250 USD,1,1GT49REY1LF118523,124 656 mi(подтвержден),15.05.2024 19:00 UTC,6.6l 8,,Серый,Дизель,4х4 с задним приводом,Ключи присутствуют,,$ 0 USD,$ 63 950 USD,NV - SALVAGE TITLE,Кража,Незначительная вмятина/царапины,,Автоматическая,NORTH LAS VEGAS, NEVADA
2022 Western Star/auto Car 5700 Xe,$ 4 200 USD,1,5KJJBHDR2NLNM2358,,15.05.2024 17:00 UTC,14.8l 6,,Белый,Дизель,задний привод,,,$ 122 804 USD,$ 0 USD,TN - SALVAGE CERTIFICATE,Пожар,Пожар,,Автоматическая,LEBANON, TENNESSEE
2013 Toyota Avalon Base,$ 3 150 USD,1,4T1BK1EBXDU014114,175 681 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 11 169 USD,$ 13 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,,Автоматическая,MARTINEZ, CALIFORNIA
2007 Toyota Highlander Sport,$ 925 USD,1,JTEHP21AX70207678,188 545 mi(подтвержден),15.05.2024 19:00 UTC,3.3l 6,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 11 756 USD,$ 7 750 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Автоматическая,MARTINEZ, CALIFORNIA
2015 Ford Fusion Se Phev,$ 1 800 USD,1,3FA6P0PU4FR260737,121 752 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,4-дверный седан,Серый,Гибрид,передний привод,Ключи присутствуют,заводится и едет,$ 11 014 USD,$ 9 575 USD,NV - SALVAGE TITLE,Столкновение,Повреждение стороны,,Автоматическая,NORTH LAS VEGAS, NEVADA
2017 Nissan Maxima 3.5s,$ 2 650 USD,2,1N4AA6AP6HC424590,28 521 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,4-дверный седан,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 14 867 USD,$ 21 600 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение рамы,Автоматическая,NORTH LAS VEGAS, NEVADA
2011 Volkswagen Jetta Tdi,$ 625 USD,9,3VWPL7AJ5BM697555,144 641 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,стационарный (неподвижный),Черный,Дизель,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 7 350 USD,CA - CERT OF TITLE-SALVAGED,Дилерские услуги Copart,Незначительная вмятина/царапины,История повреждений,Автоматическая,SUN VALLEY, CALIFORNIA
2014 Kia Soul +,$ 2 200 USD,1,KNDJP3A57E7008302,60 630 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,,Зеленый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 11 575 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,MARTINEZ, CALIFORNIA
2015 Exma Mower,$ 600 USD,4,315637328,4 340 mi(подтвержден),15.05.2024 17:00 UTC,,,Красный,,,Ключи присутствуют,заводится и едет,$ 0 USD,$ 0 USD,TN - BILL OF SALE,Дилерские услуги Copart,Нормальный износ,,Автоматическая,LEBANON, TENNESSEE
2011 Honda Civic Lx,$ 1 350 USD,1,2HGFA1F50BH523678,169 157 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 7 750 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,NORTH LAS VEGAS, NEVADA
2016 Volkswagen Jetta S,$ 1 500 USD,1,3VW267AJ6GM237216,,15.05.2024 19:00 UTC,1.4l 4,,Красный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 9 325 USD,UT - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,NORTH LAS VEGAS, UTAH
1997 Oldsmobile Achieva Sl,$ 90 USD,2,1G3NL52T8VM346704,128 546 mi,15.05.2024 19:00 UTC,2.4l 4,,Зеленый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 6 199 USD,$ 0 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,Автоматическая,AIRWAY HEIGHTS, WASHINGTON
2018 Rock Mini Lite,$ 1 450 USD,1,4X4TRLA24JD421437,,15.05.2024 17:00 UTC,,,Желто-коричневый,,,,улучшенные транспортные средства,$ 19 411 USD,$ 0 USD,LA - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,,,NEW ORLEANS, LOUISIANA
2016 Ford Transit T-250,$ 2 350 USD,1,1FTYR1ZM9GKA58479,103 393 mi(подтвержден),15.05.2024 16:00 UTC,3.7l 6,грузовой фургон,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 23 169 USD,$ 22 525 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,NORTH LAS VEGAS, NEVADA
2008 Chevrolet Cobalt Lt,$ 650 USD,1,1G1AL58F487172626,189 445 mi,15.05.2024 19:00 UTC,2.2l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 5 434 USD,$ 4 900 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,NORTH LAS VEGAS, NEVADA
2015 Ford F150 Supercrew,$ 3 750 USD,1,1FTEW1EF0FFA48191,125 462 mi(подтвержден),15.05.2024 19:00 UTC,5.0l 8,,Угольный,Бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,$ 22 357 USD,$ 21 300 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,SUN VALLEY, CALIFORNIA
2015 Honda Fit Ex,$ 3 600 USD,1,3HGGK5H89FM704947,145 545 mi(подтвержден),15.05.2024 17:00 UTC,1.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 5 923 USD,$ 11 750 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,LEBANON, TENNESSEE
2008 Infiniti G35,$ 1 400 USD,1,JNKBV61F18M258000,62 363 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 13 000 USD,$ 5 625 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая,PORTLAND, OREGON
2016 Buick Verano,$ 675 USD,1,1G4PP5SK0G4123432,122 557 mi,15.05.2024 17:00 UTC,2.4l 4,4-дверный седан,Угольный,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,$ 9 493 USD,$ 9 850 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,LEBANON, TENNESSEE
2012 Honda Insight Lx,$ 100 USD,3,JHMZE2H50CS002441,,15.05.2024 17:00 UTC,1.3l 4,,Серебряный,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 8 036 USD,$ 6 975 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,NEW ORLEANS, LOUISIANA
2007 Toyota Corolla Ce,$ 2 950 USD,1,1NXBR30E67Z800652,296 424 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 6 500 USD,MT - CERTIFICATE OF TITLE,Неизвестно,Повреждение задней части,,Автоматическая,PHOENIX, MONTANA
2020 Hyundai Elantra Sel,$ 2 300 USD,1,5NPD84LF4LH606054,52 013 mi,15.05.2024 19:00 UTC,2.0l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 11 966 USD,$ 18 875 USD,NV - SALVAGE TITLE,Кража,Повреждение задней части,Повреждение передней части,Автоматическая,NORTH LAS VEGAS, NEVADA
2016 Hyundai Sonata Se,$ 1 050 USD,1,5NPE24AF3GH269407,,15.05.2024 19:00 UTC,2.4l 4,4-дверный седан,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 9 300 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,NORTH LAS VEGAS, NEVADA
2014 Ford Mustang Gt,$ 6 300 USD,1,1ZVBP8CF7E5272331,83 383 mi(подтвержден),15.05.2024 19:00 UTC,5.0l 8,,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 13 975 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение ходовой части,Автоматическая,NORTH LAS VEGAS, CALIFORNIA
2019 Ram Promaster City,$ 3 700 USD,1,ZFBHRFAB8K6M21656,108 266 mi(подтвержден),15.05.2024 16:00 UTC,2.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 13 675 USD,$ 18 350 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение задней части,,Автоматическая,COLTON, CALIFORNIA
2023 Honda Civic Ex,$ 3 300 USD,3,2HGFE1F75PH321450,,15.05.2024 19:00 UTC,1.5l 4,,Черный,Бензин,передний привод,,,$ 28 095 USD,$ 27 875 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,SUN VALLEY, CALIFORNIA
2021 Ram 3500,$ 25 000 USD,4,3C7WRSCL2MG651054,43 880 mi(подтвержден),15.05.2024 17:00 UTC,6.7l 6,,Белый,Дизель,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 51 450 USD,LA - CERTIFICATE OF TITLE,Аренда,Нормальный износ,Механическое повреждение,Автоматическая,NEW ORLEANS, LOUISIANA
2017 Hyundai Sonata Se,$ 3 500 USD,1,5NPE24AF3HH564184,68 696 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 8 621 USD,$ 12 675 USD,NV - SALVAGE TITLE,Столкновение,Повреждение стороны,,Автоматическая,NORTH LAS VEGAS, NEVADA
2005 Ford Econoline E350 Super Duty Wagon,$ 2 600 USD,1,1FBNE31LX5HB07491,93 605 mi(подтвержден),15.05.2024 16:00 UTC,5.4l 8,спортивная версия,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 5 005 USD,$ 4 675 USD,CA - SALVAGE CERTIFICATE,Вандализм,Вандализм,,Автоматическая,SACRAMENTO, CALIFORNIA
2002 Chevrolet Express G2500,$ 200 USD,1,1GCGG25RX21168254,195 447 mi,15.05.2024 16:00 UTC,5.7l 8,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 1 500 USD,$ 6 650 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,Механическое повреждение,Автоматическая,GRAHAM, WASHINGTON
2022 Porsche 911 Turbo,$ 132 000 USD,2,WP0CD2A94NS260388,2 841 mi(подтвержден),15.05.2024 19:00 UTC,3.7l 6,,Синий,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,$ 200 685 USD,$ 0 USD,MT - SALVAGE CERTIFICATE OF A VEHIC,Столкновение,Повсюду,,Автоматическая,SUN VALLEY, MONTANA
2003 Toyota Camry Le,$ 775 USD,1,4T1BF32K43U057074,189 100 mi,15.05.2024 17:00 UTC,3.0l 6,4-дверный седан,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 5 354 USD,$ 0 USD,TN - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,LEBANON, TENNESSEE
1989 Ford Taurus Sho,$ 250 USD,1,1FABP54Y6KA168584,747 456 mi,15.05.2024 17:00 UTC,3.0l 6,,Золотой,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 5 203 USD,$ 0 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,Механическая,LEBANON, TENNESSEE
2001 Honda Civic Si,$ 925 USD,1,1HGEM21941L114099,156 872 mi,15.05.2024 17:00 UTC,1.7l 4,,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 3 983 USD,$ 0 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Механическая,LEBANON, TENNESSEE
1992 Gmc Sierra C2500,$ 15 USD,1,1GTGC24K8NE528120,201 574 mi,15.05.2024 16:00 UTC,5.7l 8,подбирать,Двухцветный,Бензин,задний привод,,улучшенные транспортные средства,$ 2 695 USD,$ 0 USD,OR - SALVAGE TITLE CERTIFICATE,Кража,Вандализм,,Автоматическая,WOODBURN, OREGON
2023 Ram 1500 Laramie,$ 17 000 USD,1,1C6RREJG3PN686349,3 218 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,,Белый,Бензин,задний привод,,,$ 0 USD,$ 53 325 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,NORTH LAS VEGAS, NEVADA
2010 Chevrolet Equinox Lt,$ 725 USD,1,2CNALPEW2A6200500,180 067 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,,Красный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 6 350 USD,AZ - CERTIFICATE OF TITLE,Неизвестно,Незначительная вмятина/царапины,,Автоматическая,PHOENIX, ARIZONA
2010 Chevrolet Malibu 2lt,$ 725 USD,3,1G1ZD5E70AF255298,128 740 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 5 675 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Пожертвование,Повреждение передней части,Повреждение задней части,Автоматическая,MARTINEZ, CALIFORNIA
2004 Chevrolet Express G3500,$ 2 950 USD,1,1GCHG35U741116193,104 076 mi,15.05.2024 16:00 UTC,6.0l 8,грузовой фургон,Белый,Бензин,задний привод,Ключи присутствуют,двигатель запускается,$ 0 USD,$ 8 650 USD,OR - CERTIFICATE OF TITLE,Пожертвование,Механическое повреждение,Незначительная вмятина/царапины,Автоматическая,WOODBURN, OREGON
2013 Chevrolet Impala Lt,$ 125 USD,1,2G1WG5E39D1207009,162 266 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,4-дверный седан,Черный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 7 225 USD,WA - BILL OF SALE,Столкновение,Повреждение задней части,Повреждение передней части,Автоматическая,AIRWAY HEIGHTS, WASHINGTON
2008 Toyota Camry Ce,$ 2 650 USD,1,4T4BE46K88R040231,68 682 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 9 381 USD,$ 7 650 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение стороны,Повреждение задней части,Автоматическая,MARTINEZ, CALIFORNIA
2017 Freightliner Sprinter 2500,$ 4 850 USD,1,WDYPE8CD2HP573938,127 372 mi(подтвержден),15.05.2024 16:00 UTC,3.0l 6,,Белый,Дизель,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 33 137 USD,$ 27 600 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,Автоматическая,SAN DIEGO, CALIFORNIA
2015 Chevrolet Silverado K1500 Lt,$ 6 800 USD,1,1GCUKREC3FF201075,81 712 mi(подтвержден),15.05.2024 19:00 UTC,5.3l 8,,Черный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 17 767 USD,$ 21 125 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение задней части,Автоматическая,PORTLAND, OREGON
2014 Volvo Xc60 3.2,$ 825 USD,4,YV4940DL0E2554034,123 694 mi(подтвержден),15.05.2024 19:00 UTC,3.2l 6,,Черный,Бензин,передний привод,,улучшенные транспортные средства,$ 10 183 USD,$ 9 725 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,SUN VALLEY, CALIFORNIA
2017 Jeep Patriot Sport,$ 1 500 USD,1,1C4NJRBB4HD106753,123 850 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,,Черный,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,$ 0 USD,$ 11 575 USD,IA - CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,,Автоматическая,PHOENIX, IOWA
2009 Ford Focus Ses,$ 725 USD,3,1FAHP36N39W224494,134 378 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 5 475 USD,CA - CERT OF TITLE-SALVAGED,Пожертвование,Незначительная вмятина/царапины,,Автоматическая,MARTINEZ, CALIFORNIA
2011 Mercedes-benz E 350,$ 1 200 USD,1,WDDKK5GF2BF077288,88 562 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 16 958 USD,$ 10 600 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повсюду,Автоматическая,MARTINEZ, CALIFORNIA
2017 Mercedes-benz Gla 250,$ 1 650 USD,1,WDCTG4EB3HJ344271,,15.05.2024 19:00 UTC,2.0l 4,,Белый,Бензин,передний привод,,,$ 19 585 USD,$ 15 950 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,SUN VALLEY, CALIFORNIA
2017 Honda Hr-v Ex,$ 3 200 USD,1,3CZRU5H52HG710141,,15.05.2024 19:00 UTC,1.8l 4,,Угольный,Бензин,передний привод,Ключи присутствуют,,$ 17 669 USD,$ 15 075 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,,Автоматическая,SUN VALLEY, CALIFORNIA
2018 Ford Escape S,$ 6 800 USD,3,1FMCU0F79JUD40744,52 693 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 12 825 USD,OR - CERTIFICATE OF TITLE,Дилерские услуги Copart,Нормальный износ,,Автоматическая,PORTLAND, OREGON
2008 Hyundai Santa Fe Se,$ 375 USD,1,5NMSH73E18H151202,191 412 mi,15.05.2024 19:00 UTC,3.3l 6,,Синий,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,$ 0 USD,$ 5 875 USD,WA - VEHICLE CERT OF OWNERSHIP-TITL,Публичный коносамент,Нормальный износ,,Автоматическая,PORTLAND, WASHINGTON
2023 Honda Civic Lx,$ 7 300 USD,1,2HGFE2F2XPH559787,18 350 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 18 817 USD,$ 24 875 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,NEW ORLEANS, LOUISIANA
2017 Honda Accord Lx,$ 3 150 USD,1,1HGCR2F31HA065169,234 965 mi(подтвержден),15.05.2024 17:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 12 325 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Автоматическая,LEBANON, TENNESSEE
2008 Lexus Gs 350,$ 300 USD,7,JTHBE96S880040392,155 488 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,4-дверный седан,Черный,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 8 925 USD,CA - SALVAGE CERTIFICATE,Дилерские услуги Copart,Вода/Наводнение,Повреждение задней части,Автоматическая,SUN VALLEY, CALIFORNIA
2015 Ford Fiesta Se,$ 375 USD,1,3FADP4EJ0FM214150,98 296 mi(подтвержден),15.05.2024 19:00 UTC,1.6l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 7 475 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,MARTINEZ, CALIFORNIA
