Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач,Город,Штат
2003 Ford Explorer Xlt,$ 175 USD,2,1FMZU63K63UB76717,232 154 mi,13.05.2024 17:00 UTC,4.0l 6,,Синий,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,$ 3 265 USD,$ 0 USD,IL - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,PEKIN,ILLINOIS
2012 Toyota Camry Se,$ 2 600 USD,1,4T1BK1FK9CU514648,141 699 mi(подтвержден),13.05.2024 14:00 UTC,3.5l 6,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 7 847 USD,$ 10 875 USD,NC - SALVAGE CERTIFICATE OF TITLE,Кража,Повреждение передней части,Повреждение задней части,Автоматическая,LUMBERTON,NORTH CAROLINA
2010 Honda Civic Vp,$ 1 200 USD,1,19XFA1E35AE011097,104 278 mi(подтвержден),13.05.2024 14:00 UTC,1.8l 4,4-дверный седан,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 8 021 USD,$ 6 725 USD,VT - CERT OF TITLE-SALVAGE VEHICLE,Столкновение,Повреждение задней части,,Механическая,CENTER RUTLAND,VERMONT
2004 Gmc Sierra K2500 Heavy Duty,$ 2 500 USD,1,1GTHK23184F171305,,13.05.2024 18:00 UTC,6.6l 8,,Серебряный,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 15 705 USD,$ 0 USD,UT - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,FARR WEST,UTAH
2018 Chevrolet Equinox Premier,$ 4 600 USD,1,2GNAXVEV9J6164980,57 488 mi(подтвержден),13.05.2024 17:00 UTC,1.5l 4,,Красный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 10 973 USD,$ 19 175 USD,WI - CERT OF TITLE-CLAIM PAID,Неизвестно,Повреждение передней части,,Автоматическая,APPLETON,WISCONSIN
2015 Hyundai Sonata Se,$ 1 450 USD,1,5NPE24AF9FH231050,199 267 mi(подтвержден),13.05.2024 14:00 UTC,2.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 4 884 USD,$ 8 000 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,LUMBERTON,NORTH CAROLINA
2017 Kia Forte Lx,$ 1 900 CAD,1,3KPFL4A75HE026133,246 745 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 14 536 CAD,$ 0 CAD,ON - PERMIT SALVAGE,Столкновение,Повреждение задней части,,Автоматическая,BOWMANVILLE,ONTARIO
2015 Chevrolet Trax Ltz,$ 2 700 USD,2,KL7CJTSB4FB140539,71 431 mi(подтвержден),13.05.2024 17:00 UTC,1.4l 4,,Красный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 10 356 USD,$ 10 950 USD,IN - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение стороны,,Автоматическая,DYER,INDIANA
2015 Dodge Charger Se,$ 3 000 USD,1,2C3CDXFG1FH841509,168 870 mi(подтвержден),13.05.2024 18:00 UTC,3.6l 6,,Белый,Этанолосодержащий бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 12 222 USD,$ 12 400 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение задней части,,Автоматическая,LITTLETON,COLORADO
2013 Lexus Rx 350 Base,$ 5 000 USD,1,2T2BK1BA7DC215980,94 359 mi(подтвержден),13.05.2024 14:00 UTC,3.5l 6,4-дверный спорт,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 9 987 USD,$ 16 750 USD,VT - CERT OF TITLE-SALVAGE VEHICLE,Столкновение,Повреждение стороны,,Автоматическая,CENTER RUTLAND,VERMONT
